item_id,score,extracted,gold,latency_ms,provider,engine_latency_ms,finish,error
gsm8k/test/0,1.0,18,18,9486.4,gemini,2536,stop,
gsm8k/test/1,1.0,3,3,4060.3,gemini,2532,stop,
gsm8k/test/2,1.0,"$70,000",70000,12058.7,gemini,10187,stop,
gsm8k/test/3,1.0,540,540,12991.9,gemini,2356,stop,
gsm8k/test/4,1.0,20,20,3634.2,gemini,3279,stop,
gsm8k/test/5,1.0,64,64,4338.1,gemini,3930,stop,
gsm8k/test/6,1.0,260,260,2385.8,gemini,2033,stop,
gsm8k/test/7,1.0,160,160,4501.3,gemini,4209,stop,
gsm8k/test/8,1.0,45,45,5048.7,gemini,4543,stop,
gsm8k/test/9,1.0,460,460,3163.7,gemini,2436,stop,
gsm8k/test/10,1.0,366,366,3534.1,gemini,3111,stop,
gsm8k/test/11,1.0,694,694,3403.3,gemini,2742,stop,
gsm8k/test/12,0.0,12,13,3483.2,gemini,3148,stop,
gsm8k/test/13,1.0,18,18,4869.3,gemini,4309,stop,
gsm8k/test/14,1.0,60,60,13836.2,gemini,3886,stop,
gsm8k/test/15,1.0,125,125,17198.2,gemini,4200,stop,
gsm8k/test/16,1.0,230,230,2557.5,gemini,2127,stop,
gsm8k/test/17,1.0,57500,57500,3887.4,gemini,3213,stop,
gsm8k/test/18,1.0,7,7,3292.3,gemini,2632,stop,
gsm8k/test/19,1.0,6,6,4543.5,gemini,4214,stop,
gsm8k/test/20,1.0,15,15,5327.2,gemini,4907,stop,
gsm8k/test/21,1.0,14,14,3543.0,gemini,3074,stop,
gsm8k/test/22,1.0,7,7,2821.4,gemini,2371,stop,
gsm8k/test/23,1.0,8,8,2540.3,gemini,1840,stop,
gsm8k/test/24,1.0,$26.00,26,4265.5,gemini,3800,stop,
gsm8k/test/25,1.0,2,2,3379.3,gemini,3113,stop,
gsm8k/test/26,1.0,243,243,4261.1,gemini,3494,stop,
gsm8k/test/27,1.0,16,16,3053.8,gemini,2754,stop,
gsm8k/test/28,1.0,25,25,3172.2,gemini,2843,stop,
gsm8k/test/29,1.0,104,104,3146.3,gemini,2718,stop,
gsm8k/test/30,1.0,109,109,4285.5,gemini,3538,stop,
gsm8k/test/31,1.0,80,80,3095.9,gemini,2649,stop,
gsm8k/test/32,1.0,35,35,3348.8,gemini,2911,stop,
gsm8k/test/33,1.0,70,70,4323.5,gemini,3946,stop,
gsm8k/test/34,1.0,23,23,3107.0,gemini,2642,stop,
gsm8k/test/35,1.0,9,9,6044.4,gemini,5402,stop,
gsm8k/test/36,0.0,None,75,7925.0,groq,1708,stop,
gsm8k/test/37,1.0,2,2,20945.0,gemini,20504,stop,
gsm8k/test/38,1.0,10,10,34079.0,gemini,33452,stop,
gsm8k/test/39,0.0,None,18,3785.7,groq,2501,stop,
gsm8k/test/40,0.0,None,8,2243.5,groq,1586,stop,
gsm8k/test/41,0.0,None,200,1670.1,groq,1352,stop,
gsm8k/test/42,0.0,None,26,1081.4,groq,782,stop,
gsm8k/test/43,0.0,None,48,2624.5,groq,1735,stop,
gsm8k/test/44,0.0,None,20,1734.8,groq,1377,stop,
gsm8k/test/45,0.0,None,104,88569.2,openrouter,26399,stop,
gsm8k/test/46,0.0,None,163,1689.6,groq,1318,stop,
gsm8k/test/47,0.0,None,800,54989.9,openrouter,34944,stop,
gsm8k/test/48,0.0,None,8,1837.4,groq,1387,stop,
gsm8k/test/49,0.0,None,30,1747.1,groq,1424,stop,
gsm8k/test/50,0.0,None,294,1734.2,groq,1070,stop,
gsm8k/test/51,0.0,None,5,4870.4,groq,4603,stop,
gsm8k/test/52,0.0,None,15,2199.9,groq,1764,stop,
gsm8k/test/53,0.0,None,40,16047.4,groq,14586,stop,
gsm8k/test/54,0.0,None,40,15353.3,groq,15073,stop,
gsm8k/test/55,0.0,None,14,1972.4,groq,1010,stop,
gsm8k/test/56,0.0,None,3,24433.9,groq,3097,stop,
gsm8k/test/57,0.0,None,83,1762.0,groq,1442,stop,
gsm8k/test/58,1.0,57,57,23728.7,gemini,3240,stop,
gsm8k/test/59,1.0,187,187,7372.2,gemini,6668,stop,
gsm8k/test/60,0.0,None,17,22320.8,openrouter,20104,stop,
gsm8k/test/61,1.0,1430,1430,2834.2,gemini,2363,stop,
gsm8k/test/62,0.0,None,25000,55603.0,openrouter,18196,stop,
gsm8k/test/63,1.0,1596,1596,6895.1,openrouter,6459,stop,
gsm8k/test/64,0.0,None,300,21702.9,openrouter,20986,stop,
gsm8k/test/65,0.0,None,36,29164.8,openrouter,2987,stop,
gsm8k/test/66,1.0,48,48,8087.4,openrouter,7334,stop,
gsm8k/test/67,0.0,None,595,14351.4,openrouter,13683,stop,
gsm8k/test/68,0.0,None,36,13147.8,openrouter,12818,stop,
gsm8k/test/69,0.0,None,60,24943.0,openrouter,24061,stop,
gsm8k/test/70,0.0,None,7425,24904.0,openrouter,5412,stop,
gsm8k/test/71,0.0,None,60,13536.6,openrouter,12817,stop,
gsm8k/test/72,0.0,None,221,29484.8,openrouter,28987,stop,
gsm8k/test/73,0.0,None,255,9654.7,openrouter,8939,stop,
gsm8k/test/74,1.0,88,88,130741.1,openrouter,8019,stop,
gsm8k/test/75,0.0,None,60,8208.2,openrouter,7285,stop,
gsm8k/test/76,1.0,5,5,64805.7,gemini,27659,stop,
gsm8k/test/77,0.0,None,100,31029.4,openrouter,30301,stop,
gsm8k/test/78,0.0,None,6,13944.0,openrouter,13112,stop,
gsm8k/test/79,0.0,None,70,9812.4,openrouter,9019,stop,
gsm8k/test/80,0.0,None,10,27695.1,openrouter,26833,stop,
gsm8k/test/81,0.0,None,17,8802.8,openrouter,8086,stop,
gsm8k/test/82,0.0,None,623,6008.6,openrouter,5217,stop,
gsm8k/test/83,0.0,None,600,10589.9,openrouter,9827,stop,
gsm8k/test/84,0.0,None,15,91435.7,openrouter,14606,stop,
gsm8k/test/85,0.0,None,44,25348.6,openrouter,22889,stop,
gsm8k/test/86,0.0,None,22,18826.4,openrouter,16794,stop,
gsm8k/test/87,0.0,$7920,9360,43623.5,gemini,6199,stop,
gsm8k/test/88,0.0,None,8000,15770.9,openrouter,14827,stop,
gsm8k/test/89,0.0,None,24,33733.3,openrouter,14072,stop,
gsm8k/test/90,1.0,225,225,86879.6,gemini,3581,stop,
gsm8k/test/91,1.0,28,28,20106.0,gemini,19655,stop,
gsm8k/test/92,0.0,None,4,16720.8,openrouter,16033,stop,
gsm8k/test/93,0.0,None,36,17825.3,openrouter,17143,stop,
gsm8k/test/94,0.0,None,348,36349.6,openrouter,35685,stop,
gsm8k/test/95,0.0,None,40,5164.9,openrouter,4885,stop,
gsm8k/test/96,0.0,None,3,5005.3,openrouter,4054,stop,
gsm8k/test/97,0.0,None,12,17384.2,openrouter,16579,stop,
gsm8k/test/98,0.0,None,5,20005.1,openrouter,19169,stop,
gsm8k/test/99,1.0,58,58,7815.3,openrouter,7014,stop,
gsm8k/test/100,0.0,None,175,27104.1,openrouter,26628,stop,
gsm8k/test/101,0.0,None,6,26611.6,openrouter,25872,stop,
gsm8k/test/102,1.0,26,26,67829.3,openrouter,21743,stop,
gsm8k/test/103,1.0,140,140,3836.0,gemini,3133,stop,
gsm8k/test/104,1.0,500,500,3520.9,gemini,3090,stop,
gsm8k/test/105,1.0,20,20,3485.9,gemini,2783,stop,
gsm8k/test/106,1.0,72,72,4563.9,gemini,3862,stop,
gsm8k/test/107,1.0,3,3,5575.9,gemini,5314,stop,
gsm8k/test/108,1.0,50,50,4415.8,gemini,3757,stop,
gsm8k/test/109,1.0,28,28,4967.8,gemini,4537,stop,
gsm8k/test/110,1.0,45,45,5030.1,gemini,4366,stop,
gsm8k/test/111,1.0,16,16,6596.8,gemini,6323,stop,
gsm8k/test/112,1.0,24,24,3387.5,gemini,2931,stop,
gsm8k/test/113,1.0,25,25,4052.1,gemini,3585,stop,
gsm8k/test/114,0.0,None,6,15542.9,openrouter,8535,stop,
gsm8k/test/115,1.0,90,90,5256.3,gemini,4786,stop,
gsm8k/test/116,1.0,42,42,4570.8,gemini,4305,stop,
gsm8k/test/117,0.0,None,360,14449.1,openrouter,14001,stop,
gsm8k/test/118,1.0,4,4,5164.1,openrouter,4569,stop,
gsm8k/test/119,0.0,None,95200,110963.3,openrouter,35735,length,
gsm8k/test/120,0.0,None,240,45855.0,openrouter,8744,stop,
gsm8k/test/121,0.0,None,27,21542.0,openrouter,20608,stop,
gsm8k/test/122,0.0,None,48,21656.6,openrouter,20769,stop,
gsm8k/test/123,0.0,None,50,13331.4,openrouter,12842,stop,
gsm8k/test/124,0.0,None,10,4468.7,openrouter,3990,stop,
gsm8k/test/125,0.0,None,10,35856.4,openrouter,35137,stop,
