benchmark,dataset,version,source,license,split,n_samples,sha256,status
GSM8K,openai/grade-school-math test.jsonl,master (canonical),https://raw.githubusercontent.com/openai/grade-school-math/master/grade_school_math/data/test.jsonl,MIT,test,1319,3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14,ACQUIRED_VERIFIED
HumanEval,openai/human-eval HumanEval.jsonl.gz,master (canonical),https://raw.githubusercontent.com/openai/human-eval/master/data/HumanEval.jsonl.gz,MIT,full,164,b796127e635a67f93fb35c04f4cb03cf06f38c8072ee7cee8833d7bee06979ef,ACQUIRED_VERIFIED
MBPP,google-research mbpp.jsonl,master (canonical),https://raw.githubusercontent.com/google-research/google-research/master/mbpp/mbpp.jsonl,CC-BY-4.0,full 974 / paper test split task_ids 11-510 (n=500),974,ccf64ceae9c5403bf50a044cb6d505bfd2a2963ee58338ba268fd65beab92a9f,ACQUIRED_VERIFIED
MMLU,hendrycks data.tar,official distribution,https://people.eecs.berkeley.edu/~hendrycks/data.tar,MIT,"test (14,042)",,,NOT_ACQUIRED - host blocked by egress policy (HTTP 403 host_not_allowed)
MMLU-Pro,TIGER-Lab/MMLU-Pro,HF main,https://huggingface.co/datasets/TIGER-Lab/MMLU-Pro,MIT,"test (12,032)",,,NOT_ACQUIRED - huggingface.co blocked by egress policy
GPQA,Idavidrein/gpqa,HF main (gated),https://huggingface.co/datasets/Idavidrein/gpqa,"CC-BY-4.0, access-controlled",diamond (198) / main / extended,,,"NOT_ACQUIRED - gated (terms acceptance) + huggingface.co blocked; official GitHub zip is deliberately password-protected as anti-contamination, not automated"
MATH-500,HuggingFaceH4/MATH-500,HF main,https://huggingface.co/datasets/HuggingFaceH4/MATH-500,MIT,test (500),,,NOT_ACQUIRED - huggingface.co blocked by egress policy
AIME,AIME 2024/2025 research mirrors,"HF (Maxwell-Jia/AIME_2024, yentinglin/aime_2025)",https://huggingface.co/datasets/yentinglin/aime_2025,problems (c) MAA; research evaluation use,30 per edition,,,NOT_ACQUIRED - huggingface.co blocked by egress policy
HLE,cais/hle,HF (gated),https://huggingface.co/datasets/cais/hle,"MIT, gated (terms acceptance)","public test (2,500)",,,NOT_ACQUIRED - gated + huggingface.co blocked; official protocol additionally requires an external LLM judge
LiveCodeBench,livecodebench/code_generation_lite,"release_v6 (1,055 problems, May 2023-Apr 2025)",https://github.com/LiveCodeBench/LiveCodeBench,MIT (harness),release-tagged,,,NOT_ACQUIRED - dataset served via Hugging Face (blocked); official harness required for scoring
SWE-bench,princeton-nlp/SWE-bench,HF + official docker harness,https://github.com/SWE-bench/SWE-bench,MIT (harness); per-repo licenses,Verified (500) / full,,,NOT_ACQUIRED - HF blocked + per-instance Docker infrastructure unavailable in sandbox
DocVQA,RRC challenge portal,official,https://rrc.cvc.uab.es,registration required,val/test,,,NOT_ACQUIRED - registration-gated; portal not reachable
ChartQA,vis-nlp/ChartQA,official repo,https://github.com/vis-nlp/ChartQA,research use; repo GPL-3.0 code,test,,,"NOT_ACQUIRED here - acquisition possible via GitHub, but execution blocked (multimodal adapter + inference unavailable); deferred rather than partially acquired"
MMMU,MMMU/MMMU,HF,https://huggingface.co/datasets/MMMU/MMMU,Apache-2.0,validation/test,,,NOT_ACQUIRED - huggingface.co blocked; multimodal adapter dependency
BEIR,beir-cellar corpora,official,https://github.com/beir-cellar/beir,Apache-2.0 harness; per-corpus varies,18 corpora,,,"NOT_APPLICABLE yet - AQUA exposes no embeddings/retrieval endpoint (precondition, independent of environment)"
